movie_title,comment,tag
肖申克的救赎 The Shawshank Redemption,其实理解不了为什么这部影片会排名第一…,剧情 犯罪
肖申克的救赎 The Shawshank Redemption,二十岁以为自己是在外边看，四十岁才明白自己是在里边看。,剧情 犯罪
肖申克的救赎 The Shawshank Redemption,救赎什么？灵魂？自由？信念？你看看这部电影就有体会了,剧情 犯罪
肖申克的救赎 The Shawshank Redemption,酣畅淋漓,剧情 犯罪
肖申克的救赎 The Shawshank Redemption,经典老电影就是不一样，重温了无数遍呢,剧情 犯罪
肖申克的救赎 The Shawshank Redemption,好片，但是远比这部片更好的还很多，大家整天把这部电影稀奇得不行，其实同年的电影我更喜欢阿甘。,剧情 犯罪
肖申克的救赎 The Shawshank Redemption,"在我的心目中,它一直都是最被高估的电影。",剧情 犯罪
肖申克的救赎 The Shawshank Redemption,几年后，五星改成三星。,剧情 犯罪
肖申克的救赎 The Shawshank Redemption,何为救赎？只有重燃人们心中的希望才能救赎。有希望才有一切可能。即使环境再恶劣，安迪都没有放弃，坚持不懈的写信为大家换来更好的图书馆，帮助有需要的人拿到高中文凭使他们可以在社会上有生存能力，就算知道会惹怒看守也想让人们都听到美妙的歌声，点燃希望之光。有一种鸟儿是永远也关不住的。,剧情 犯罪
肖申克的救赎 The Shawshank Redemption,太感人的电影！完整看过四遍！安迪从下水道爬出后，在水里在雨中仰天长啸时，就瞬间泪奔！,剧情 犯罪
肖申克的救赎 The Shawshank Redemption,非常好，可惜那年有阿甘正传，但我个人认为还是这部最佳。,剧情 犯罪
肖申克的救赎 The Shawshank Redemption,这是一部关于自由、友情、正义的电影!“信念不灭，希望永存”。这其实是他们全体人的救赎，只是选择的方式不同而已。,剧情 犯罪
肖申克的救赎 The Shawshank Redemption,高中第一节心理课。“有一种鸟是关不住的，因为它们的每一片羽毛都闪耀着自由的光辉”，但后来不幸成了我的逆反宣言……哈哈哈。,剧情 犯罪
肖申克的救赎 The Shawshank Redemption,大众经典我从不感冒，为什么？我欣赏水平不行？,剧情 犯罪
肖申克的救赎 The Shawshank Redemption,天下大同。PS：停留在前去相逢的车子远去的背影最好，不必拍出重遇和相拥。,剧情 犯罪
肖申克的救赎 The Shawshank Redemption,习惯了监狱生活而接受不了正常生活的人，既真实又恐怖。勇敢面对生活，逃离自己的舒适区。,剧情 犯罪
肖申克的救赎 The Shawshank Redemption,在这世上生存就得有一项特长，再者坚持就是胜利吧。,剧情 犯罪
肖申克的救赎 The Shawshank Redemption,我发现影史顶尖的作品，都反映了人的执念，一种笃定一切的意志力，这种意志不被人理解，但让人佩服，因为大多数人不敢付出这样的代价，他们不敢相信这一切的价值。自由和希望，就是每个人活着的一根弦，绷着就能生，断了就得死。所以“要么忙着去活，要么忙着去死”，在于选择。如果你愿意相信自己会是那只光彩夺目的鸟，那你就不可能被困在牢笼之中，因为安迪的牢笼是他自己打开的。,剧情 犯罪
肖申克的救赎 The Shawshank Redemption,几年前被母亲推荐看的，她很推崇，看过后感觉可以，黑暗是每个国家都存在的，总的来说希望好人一生平安！,剧情 犯罪
肖申克的救赎 The Shawshank Redemption,#重看#@影城；超越年代的“主流心灵鸡汤”依然灌得眼泪直冒；世上本无希望，若我多行一步即是希望，在绝望黑暗处生出倔强微光，卡夫卡式的悖论；每人都背负着有形无形的肖申克，注定无法被囚禁的鸟儿一定会挣脱桎梏，天才善于做梦；类型片元素大集成，充满匠气的完美作品。,剧情 犯罪
肖申克的救赎 The Shawshank Redemption,2008年11月28日，第一次看肖申克。那时候观影量还不到五百吧。给五星是见识浅。现在差不多九年过去，我在豆瓣标注看过的已经超过三千，第二次看，还是给了五星。它当然不是最好的片，但是太滴水不漏了。,剧情 犯罪
肖申克的救赎 The Shawshank Redemption,经典，很久以前看的了。人活着就得有希望。,剧情 犯罪
